employment_status,life_satisfaction,cheerful,well_rested,overall_health,social_time,helping_others,social_support,social_skills_growth,neighborhood_safety,community_care,community_impact,enjoy_learning,self_motivation,calm_under_pressure,emotional_control,teamwork,task_persistence,adaptability,fixed_social_belief,equal_opportunity_belief,wellbeing_belief,community_participation,physical_activity,employment_status_label
1,3,4,4,5,3,4,5,5,5,3,3,4,4,5,5,4,4,4,5,5,5,3,3,Employed
1,4,3,3,4,4,4,4,5,4,4,5,5,5,4,4,3,4,4,3,3,5,4,4,Employed
1,4,5,4,4,5,4,4,4,5,4,4,4,5,3,3,5,4,5,4,5,3,3,2,Employed
1,4,3,4,5,5,4,5,4,5,3,3,5,5,5,4,5,5,5,4,5,5,4,4,Employed
1,5,4,4,3,5,5,4,5,4,3,4,5,4,5,4,3,5,4,3,5,5,4,4,Employed
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,Employed
1,3,3,2,2,3,4,4,2,4,3,3,4,3,4,2,2,3,2,3,4,4,2,2,Employed
0,3,4,2,3,5,4,4,5,3,4,4,5,4,4,4,4,4,4,4,3,5,3,1,Student
1,4,3,3,3,5,4,5,5,4,4,4,5,5,2,2,2,4,2,4,4,5,2,2,Employed
1,3,3,3,3,3,4,3,4,3,4,3,4,4,3,3,3,2,3,4,4,4,2,1,Employed
1,3,4,4,3,5,5,5,5,4,4,4,5,4,4,5,5,4,3,3,4,5,3,3,Employed
1,4,4,3,4,3,4,4,3,4,4,4,5,5,4,4,4,4,4,4,3,4,3,4,Employed
2,4,5,3,4,5,5,4,5,4,4,2,5,4,4,3,5,4,5,3,5,5,4,3,Unemployed
0,4,3,3,5,3,4,3,5,4,4,4,4,4,5,5,5,5,5,5,5,5,3,3,Student
1,4,5,5,5,5,5,3,5,2,4,2,5,5,4,4,5,5,3,2,5,5,3,3,Employed
1,2,1,1,1,1,4,4,5,4,3,4,5,5,2,1,1,4,4,3,2,5,3,1,Employed
1,3,3,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,3,5,5,3,3,Employed
1,5,5,5,5,3,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,4,Employed
1,2,2,2,3,3,5,5,5,5,5,4,5,5,4,3,5,5,5,5,5,5,4,3,Employed
1,3,3,3,3,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,4,Employed
0,3,3,3,4,2,3,3,3,4,2,3,5,5,2,2,3,3,2,4,5,5,3,4,Student
0,4,3,3,4,3,3,5,4,4,3,2,4,4,3,2,3,5,4,4,5,5,2,2,Student
0,5,5,3,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,2,3,Student
2,2,2,3,3,3,4,3,3,3,2,3,4,2,3,2,4,5,5,3,5,2,2,2,Unemployed
1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,5,4,4,Employed
1,4,5,5,4,5,5,3,5,5,3,3,5,3,3,4,3,3,2,5,5,5,2,2,Employed
1,3,3,4,4,3,4,3,5,3,3,3,5,5,4,4,4,3,3,4,4,5,3,4,Employed
2,4,4,3,3,4,4,3,5,4,3,4,5,5,4,4,3,5,4,5,5,5,3,2,Unemployed
1,4,2,3,3,3,5,4,4,4,3,3,3,4,3,2,4,4,3,4,4,5,2,2,Employed
1,4,4,4,3,5,5,3,5,3,3,4,4,4,4,3,4,4,4,4,5,5,4,3,Employed
0,3,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,5,2,2,Student
0,4,2,3,4,2,4,4,4,5,3,1,4,4,5,5,4,4,3,4,5,5,2,1,Student
1,4,5,3,5,3,5,3,3,5,4,5,5,5,5,4,3,5,5,5,5,5,3,4,Employed
1,4,4,3,3,5,3,4,5,5,3,2,5,3,4,3,3,5,4,4,4,5,2,3,Employed
0,4,4,4,4,5,4,5,5,4,4,3,4,4,2,3,4,4,4,4,4,5,2,2,Student
1,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,3,3,Employed
0,2,3,2,4,4,5,4,5,5,5,5,5,5,2,2,3,5,5,5,5,5,2,3,Student
1,3,3,2,4,3,4,4,3,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,Employed
